행정동,면적(㎢),총생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수_x,남자70세이상생활인구수_x,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수_x,여자70세이상생활인구수_x,총 노인 인구수,남자65세부터69세생활인구수_y,남자70세이상생활인구수_y,여자65세부터69세생활인구수_y,여자70세이상생활인구수_y,노인_의료복지시설수,노인_주거복지시설수,장애인_생산품판매시설수,장애인_의료재활시설수,장애인_지역사회재활시설수,장애인_직업재활시설수,노인_여가복지시설수,노인_일자리지원기관수,노인교실수,경로당수,총시설수
월계2동,1.94,17686.357,713.4781,477.3615,483.0161,467.198,668.8252,683.8362,789.8996,756.9672,793.7947,571.9362,427.3421,1101.2572,565.5968,576.0517,530.5061,594.4138,689.5878,800.9468,1090.8031,741.2122,934.6383,671.3801,633.0818,1923.2264,4084.9075,427.3421,1101.2572,633.0818,1923.2264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0
월계3동,1.17,21800.5354,605.9799,596.4894,614.5617,784.2096,1150.485,934.7727,962.663,787.7912,855.1199,666.7305,564.7831,1288.064,528.4643,659.1411,745.8966,1059.4422,1197.4539,944.4087,1002.1841,1002.6311,1112.0475,922.1288,700.9633,2114.1238,4667.9342,564.7831,1288.064,700.9633,2114.1238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
공릉2동,6.82,45245.8031,2729.8794,3707.8301,1720.9814,1320.8981,1607.4492,1539.7226,1951.1438,1510.1769,1525.702,985.8144,879.384,1711.5742,2594.6359,4130.5995,1684.312,1556.9204,1935.5326,1866.9936,2010.5106,1725.8267,1602.1689,1258.8307,1019.5414,2669.3747,6279.8743,879.384,1711.5742,1019.5414,2669.3747,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,24.0,26.0
하계1동,1.55,22289.0401,1172.899,1078.0829,709.5043,592.9559,733.8466,628.2217,880.6829,945.2389,1023.5296,809.7403,600.7235,1160.5087,865.9537,1167.1901,779.2566,684.1055,745.5731,780.5477,1064.92,1133.0159,1088.9733,944.8736,721.7004,1976.9959,4459.9285,600.7235,1160.5087,721.7004,1976.9959,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,11.0,14.0
하계2동,0.51,14242.1718,619.2264,327.7839,351.0812,451.2741,631.7782,543.9776,755.433,665.3649,574.4871,502.133,353.3798,595.5225,500.1466,598.5011,447.6922,560.9238,720.7761,697.2059,877.4633,676.3853,769.9816,659.0748,437.0769,925.5025,2311.4817,353.3798,595.5225,437.0769,925.5025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0
중계본동,1.97,16077.9566,1081.7066,475.2317,375.2467,251.6532,361.4163,652.3622,939.9083,952.5041,734.4351,453.7372,323.6242,543.1066,1120.7448,577.7674,431.1338,312.8519,493.3697,937.7183,1307.5275,1155.3026,732.1317,600.9543,299.5864,963.936,2130.2532,323.6242,543.1066,299.5864,963.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,17.0
중계1동,0.63,23657.8187,1704.0666,698.4458,502.4168,372.3621,577.8972,947.4983,1516.4739,1272.6846,1001.1777,669.6794,474.2907,845.4107,1721.9638,823.2744,567.0854,428.833,910.8708,1436.8527,2040.8965,1572.1993,1021.1734,775.5178,534.4805,1242.2673,3096.4492,474.2907,845.4107,534.4805,1242.2673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0
중계4동,1.7,13494.2776,483.3096,481.8894,392.999,383.6858,460.328,457.1371,663.7298,596.7308,629.5606,424.0397,345.1294,800.2863,448.2423,449.4571,443.6429,392.1427,402.8096,467.0713,739.1466,809.9135,716.2651,639.7356,447.9823,1419.0431,3012.4411,345.1294,800.2863,447.9823,1419.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0
상계1동,5.62,31308.9262,882.2289,791.852,1009.133,867.7959,1163.3659,1070.6305,1260.7747,1292.2673,1398.9438,1141.9374,926.138,2170.5309,872.9072,963.1606,992.4425,1005.8715,1230.9673,1278.9054,1504.2406,1552.5919,1655.7044,1483.382,1259.4992,3533.6553,7889.8234,926.138,2170.5309,1259.4992,3533.6553,2.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,26.0,37.0
상계2동,0.61,22754.02,891.6712,1022.6583,1051.6052,734.13,914.1943,790.1611,965.3972,877.4803,1014.4431,784.7347,593.2773,1203.6012,927.7948,1096.6969,901.966,800.568,838.211,757.422,933.7685,1002.062,1113.2375,986.9656,651.8396,1900.1342,4348.8523,593.2773,1203.6012,651.8396,1900.1342,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,13.0,25.0
