행정동,면적(㎢),총생활인구수,청소년인구수,청년인구수,중장년인구수,노인인구수,장애인구수,노인_의료복지시설수,노인_주거복지시설수,노인_여가복지시설수,노인_일자리지원기관수,노인교실수,경로당수,장애인_생산품판매시설수,장애인_의료재활시설수,장애인_지역사회재활시설수,장애인_직업재활시설수,총시설수,인구밀도,노인비율,장애인비율,노인시설수,장애인시설수,시설당_노인수,시설당_장애인수,노인복지점수,장애인복지점수,최종복지점수
신당5동,0.39,5557.644,175.45190000000002,1544.6513,2801.7686,1035.7722,481.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,14250.36923076923,18.636893618950765,8.654746507692828,4.0,0.0,258.94305,,23.084881330965857,30.563795557714215,27.060145375521625
동화동,0.26,11246.1845,438.3035,2321.2668000000003,6024.182699999999,2462.4315,418.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,43254.55576923076,21.89570605034979,3.7168161343965145,6.0,0.0,410.40525,,52.93072179382538,36.13970177171876,54.3351119097365
황학동,0.33,12105.0056,344.8154,3745.1611,6058.0169,1957.0122,483.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,36681.83515151515,16.166966498553293,3.990084895128012,3.0,0.0,652.3374,,38.77549921326344,33.74537991787922,41.45701049910354
중림동,0.48,5992.735,256.8007,1215.8705,3427.7897,1092.2741,509.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,7.0,12484.864583333334,18.226637753880325,8.493617688751463,5.0,2.0,218.45482,254.5,21.871428778983855,29.55240563228817,25.76990890162565
후암동,0.86,12767.6465,668.9978,3045.9437,6766.6234,2286.0816,685.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,7.0,14846.10058139535,17.905270168625044,5.365123478316853,7.0,0.0,326.5830857142857,,30.104358162003,26.633982148637227,32.263948391434745
용산2가동,1.96,10260.1998,376.2409,2981.0259,5149.2165,1753.7165,431.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,5234.795816326531,17.092420558905687,4.20069792403068,5.0,0.0,350.7433,,20.188703915663048,14.174298612257534,20.751529391241483
남영동,1.19,8388.8053,338.5556,2555.0893,4316.5683,1178.5921,473.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,7049.416218487395,14.049582245042687,5.638466779053747,4.0,0.0,294.648025,,13.932835137340126,19.195451369437144,16.46475873762914
원효로2동,0.71,14008.1217,628.501,3345.4173,7671.0557,2363.1477,462.0,0.0,0.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,11.0,19729.748873239438,16.869839872964555,3.2980867092266912,11.0,0.0,214.8316090909091,,32.14375013029019,21.47808783939455,32.84832305455484
효창동,0.44,9431.0053,399.0428,2622.2296,5000.7118,1409.0211,338.0,2.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,4.0,0.0,15.0,21434.102954545455,14.940306522783947,3.583923338480151,11.0,4.0,128.09282727272728,84.5,24.92454999088805,21.246106279898118,26.50900450122264
용문동,0.28,8294.7048,356.1571,1941.1223,4519.3912,1478.0342,440.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,7.0,29623.94571428571,17.819009062263437,5.304589019249968,7.0,0.0,211.14774285714287,,33.79259160390124,31.739970797123174,36.65505408716884
