행정동,노인_의료복지시설수,노인_주거복지시설수,장애인_생산품판매시설수,장애인_의료재활시설수,장애인_지역사회재활시설수,장애인_직업재활시설수,노인_여가복지시설수,노인_일자리지원기관수,노인교실수,경로당수,총시설수
쌍문3동,0,0,0,0,0,0,0,0,0,5,5
쌍문4동,0,0,0,0,0,0,0,0,0,11,11
방학1동,0,0,0,0,0,0,0,0,0,12,12
방학2동,0,0,0,0,0,0,2,0,1,5,8
방학3동,0,0,0,0,0,0,0,0,1,18,19
월계1동,0,0,0,0,0,0,1,0,1,16,18
월계2동,0,0,0,0,0,0,0,0,0,17,17
월계3동,0,0,0,0,0,0,0,0,0,12,12
공릉1동,0,0,0,0,0,0,0,0,1,18,19
공릉2동,0,0,0,0,0,0,1,0,1,24,26
하계1동,0,0,0,0,0,0,1,0,2,11,14
하계2동,0,0,0,0,0,0,0,0,1,6,7
중계본동,0,0,0,0,0,0,0,0,2,15,17
중계1동,0,0,0,0,0,0,0,0,0,9,9
중계2.3동,0,0,0,0,0,0,0,0,0,10,10
중계4동,0,0,0,0,0,0,0,0,0,14,14
상계1동,2,0,0,0,3,2,2,1,1,26,37
상계2동,6,0,0,0,1,0,1,0,4,13,25
상계3.4동,0,0,0,0,0,0,0,0,1,16,17
상계5동,3,0,0,0,4,1,0,0,1,10,19
상계6.7동,0,0,0,0,0,0,0,0,0,10,10
상계8동,0,0,0,0,4,0,0,0,1,3,8
상계9동,6,0,0,0,0,0,0,0,0,4,10
상계10동,2,0,0,0,1,0,1,0,0,5,9
녹번동,4,1,0,0,1,1,1,0,2,11,21
불광1동,0,0,0,0,0,0,3,0,2,19,24
불광2동,0,0,0,0,0,0,0,0,1,8,9
갈현1동,0,0,0,0,0,0,3,0,3,4,10
갈현2동,0,0,0,0,0,0,0,0,0,7,7
구산동,2,0,0,1,4,3,1,0,1,10,22
대조동,0,0,0,0,0,1,2,0,2,4,9
응암1동,0,0,0,0,0,0,1,0,1,7,9
응암2동,0,0,0,0,0,0,1,0,1,11,13
응암3동,0,0,0,0,0,0,3,0,2,2,7
역촌동,3,0,0,0,3,0,3,0,3,4,16
신사1동,0,0,0,0,0,0,0,0,0,0,0
신사2동,0,0,0,0,0,0,0,0,0,0,0
증산동,0,0,0,0,1,1,1,0,2,10,15
수색동,0,0,0,0,0,1,0,0,0,11,12
진관동,2,0,0,0,0,0,2,0,0,39,43
천연동,1,0,0,0,0,0,2,0,1,10,14
북아현동,0,0,0,0,3,0,2,0,2,9,16
충현동,0,0,0,0,0,0,0,0,0,4,4
신촌동,0,0,0,0,0,0,0,1,1,4,6
연희동,5,0,0,0,0,1,3,0,3,9,21
홍제1동,0,0,0,0,0,0,0,0,0,12,12
홍제2동,0,0,0,0,1,0,1,0,0,8,10
홍제3동,0,0,0,0,1,0,0,0,2,10,13
홍은1동,0,0,0,0,0,0,0,0,0,12,12
홍은2동,0,0,0,0,0,0,0,0,0,12,12
남가좌1동,0,0,0,0,0,0,0,0,0,4,4
남가좌2동,0,0,0,0,0,0,0,0,0,11,11
북가좌1동,0,0,0,0,0,0,0,0,0,9,9
북가좌2동,4,0,0,0,2,0,2,0,0,8,16
아현동,0,0,0,0,0,0,2,0,1,9,12
공덕동,2,1,0,0,2,0,1,0,1,24,31
도화동,0,0,0,0,0,0,0,0,0,13,13
용강동,0,0,0,0,0,0,1,0,0,4,5
대흥동,0,0,0,0,0,0,1,0,2,9,12
염리동,1,0,0,0,1,0,0,0,2,8,12
신수동,0,0,0,0,0,0,1,0,1,15,17
서강동,0,0,0,0,0,0,1,0,1,13,15
서교동,0,0,0,0,0,0,0,0,2,4,6
합정동,0,0,0,0,0,0,0,1,0,3,4
망원1동,0,0,0,0,0,0,1,0,1,4,6
망원2동,0,0,0,0,0,0,0,0,0,5,5
연남동,0,0,0,0,0,0,0,0,0,5,5
성산1동,0,0,0,0,2,0,0,0,1,4,7
성산2동,1,0,0,0,1,0,0,0,1,20,23
상암동,0,1,0,1,1,2,1,0,1,16,23
목1동,0,0,0,0,0,0,1,0,1,12,14
목2동,0,0,0,0,0,0,0,0,2,11,13
목3동,0,0,0,0,0,0,3,0,3,5,11
목4동,0,0,0,0,0,0,1,0,0,5,6
목5동,0,0,0,0,0,0,2,0,3,9,14
신월1동,0,0,0,0,0,0,0,0,1,3,4
신월2동,0,0,0,0,0,0,1,0,2,10,13
신월3동,0,0,0,0,0,0,1,0,2,4,7
신월4동,0,0,0,0,0,0,0,0,2,11,13
신월5동,0,0,0,0,0,0,0,0,1,6,7
신월6동,0,0,0,0,0,0,1,0,1,9,11
신월7동,0,0,0,0,0,0,1,0,0,8,9
신정1동,0,0,0,0,0,0,0,0,0,5,5
신정2동,0,0,0,0,0,0,0,0,1,11,12
신정3동,0,0,0,0,0,0,0,0,2,25,27
신정4동,0,0,0,0,0,0,0,0,1,5,6
신정6동,0,0,0,0,0,0,1,1,1,4,7
신정7동,0,0,0,0,0,0,1,0,0,11,12
염창동,0,0,0,0,0,0,0,0,1,0,1
등촌1동,0,0,0,0,0,0,1,0,3,0,4
등촌2동,0,0,0,0,0,0,0,0,1,0,1
등촌3동,0,0,0,0,0,0,2,0,4,0,6
화곡1동,0,0,0,0,0,0,2,0,2,7,11
화곡2동,0,0,0,0,0,0,0,0,1,2,3
화곡3동,0,0,0,0,0,0,1,0,1,5,7
화곡4동,0,0,0,0,0,0,0,0,0,4,4
화곡본동,0,0,0,0,0,0,2,0,2,5,9
화곡6동,0,0,0,0,0,0,2,0,3,7,12
화곡8동,0,0,0,0,0,0,1,0,2,5,8
가양1동,0,0,0,0,0,0,1,0,1,16,18
가양2동,0,0,0,0,0,0,0,0,1,6,7
가양3동,0,0,0,0,0,0,0,0,0,8,8
발산1동,0,0,0,0,0,0,0,0,1,12,13
공항동,0,0,0,0,0,1,0,0,2,10,13
방화1동,0,0,0,0,0,0,2,1,3,25,31
방화2동,0,0,0,0,0,0,2,0,1,11,14
방화3동,0,0,0,0,0,0,0,0,2,16,18
화곡10동,0,0,0,0,0,0,0,0,0,0,0
신도림동,0,0,0,0,1,0,0,0,0,19,20
구로1동,0,0,0,0,0,0,0,0,2,13,15
구로2동,0,0,0,0,0,0,0,0,2,16,18
구로3동,0,0,0,0,0,0,0,0,1,10,11
구로4동,0,0,0,0,0,0,0,0,2,13,15
구로5동,0,0,0,0,0,0,1,0,1,17,19
가리봉동,1,0,0,0,2,2,0,0,1,3,9
고척1동,0,0,0,0,0,0,0,0,1,18,19
고척2동,0,0,0,0,0,0,0,0,4,12,16
개봉1동,0,0,0,0,0,0,0,0,0,14,14
개봉2동,0,0,0,0,0,0,0,0,1,12,13
개봉3동,0,0,0,0,0,0,0,0,2,5,7
오류1동,0,0,0,0,0,0,0,1,2,15,18
오류2동,0,0,0,0,0,0,0,0,1,22,23
수궁동,0,0,0,0,0,0,1,0,0,10,11
항동,0,0,0,0,0,0,0,0,0,9,9
가산동,2,0,0,0,1,4,0,0,0,7,14
독산1동,7,0,0,0,1,2,6,0,1,22,39
독산2동,6,0,0,0,0,0,1,0,1,2,10
독산3동,1,0,0,0,0,0,0,0,0,7,8
독산4동,1,0,0,0,0,3,2,0,1,4,11
시흥1동,6,0,0,0,0,0,2,1,2,10,21
시흥2동,0,1,0,0,1,0,2,0,1,10,15
